"","Var1","Freq"
"204","Mayröcker, Friederike",7
"205","Meerbaum-Eisinger, Selma",1
"206","Menasse, Eva",3
"207","Merks-Krahforst, Martina",2
"208","Meyer-Dietrich, Inge",1
"209","Miranda, Carmen",1
"210","Mitgutsch, Anna",4
"211","Mitterer, Erika",3
"212","Moníková, Libuše",1
"213","Mora, Terézia",4
"214","Morgner, Irmtraud",1
"215","Morrison, Toni",2
"216","Müller, Herta",29
"217","Müller, Katharina",1
"218","Münzer, Hanni",1
"219","Nadj Abonji, Melinda",1
"220","Navasardyan, Hermine",1
"221","Neuhaus, Nele",31
"222","Noll, Ingrid",14
"223","Nöstlinger, Christine",1
"224","Nürnberg, Dorothea",1
"225","Oelker, Petra",2
"226","Oeste de Bopp, Marianne",1
"227","Pappenheim, Bertha",1
"228","Paprotta, Astrid",1
"229","Parei, Inka",3
"230","Peetz, Monika",3
"231","Pehnt, Annette",1
"232","Petrowskaja, Katja",4
"233","Poppe, Grit",1
"234","Poschmann, Marion",1
"235","Poznanski, Ursula",6
"236","Präauer, Teresa",1
"237","Profijt, Jutta",12
"238","Raabe, Melanie",10
"239","Rakusa, Ilma",1
"240","Ramadan, Jasmin",2
"241","Reichart, Elisabeth",1
"242","Reider, Katja",5
"243","Reiner, Traudl",1
"244","Reinshagen, Gerlind",1
"245","Reuter, Gabriele",1
"246","Rice, Anne",1
"247","Richter, Jutta",4
"248","Riebe, Brigitte",1
"249","Rieks, Josefine",1
"250","Rinck, Monika",1
"251","Rinser, Luise",9
"252","Roche, Charlotte",6
"253","Röggla, Kathrin",2
"254","Rosenfeld, Ruth",1
"255","Royová, Kristína",9
"256","Sachs, Nelly",2
"257","Salzmann, Marianna",2
"258","Saunders, Kate",1
"259","Schalansky, Judith",4
"260","Scheffel, Annika",1
"261","Scheib, Asta",1
"262","Schenkel, Andrea Maria",3
"263","Scheuermann, Silke",4
"264","Schimmel, Annemarie",1
"265","Schlag, Evelyn",1
"266","Schlink, Basilea",1
"267","Schmid, Sophie",1
"268","Schmidt-Eller, Berta",1
"269","Schmidt, Kathrin",1
"270","Schmitter, Elke",1
"271","Schoder, Sabine",1
"272","Schröder-Devrient, Wilhelmine",1
"273","Schweikert, Ulrike",1
"274","Seghers, Anna",11
"275","Seuffert, Barbara",1
"276","Shakib, Siba",1
"277","Siege, Nasrin",1
"278","Sofronieva, Tzveta",1
"279","Sommer-Bodenburg, Angela",2
"280","Spilling-Nöker, Christa",2
"281","Spira, Mela",1
"282","Stefan, Verena",2
"283","Steinwendtner, Brita",1
"284","Stewner, Tanya",1
"285","Streeruwitz, Marlene",3
"286","Strubel, Antje Rávic",2
"287","Stürzer, Anja",1
"288","Sulṭānī, Katāyūn",1
"289","Sydow, Marianne",9
"290","Tannert, Mary W.",1
"291","Tatlock, Lynne",1
"292","Tawada, Yōko",4
"293","Taylor, Kathryn",6
"294","Thiesler, Sabine",4
"295","Thorn, Ines",4
"296","Tielsch, Ilse",3
"297","Ullmann, Regina",1
"298","Ulrich, Ingeborg",1
"299","Vanderbeke, Birgit",3
"300","Völler, Eva",1
"301","Walser, Alissa",3
"302","Walser, Johanna",2
"303","Weil, Grete",2
"304","Welsh, Renate",2
"305","Werth, Babette",1
"306","Wiltenburg, Joy",1
"307","Winter, Sophie",1
"308","Wolf, Christa",35
"309","Wolf, Uljana",1
"310","Wright, Chantal",1
"311","Wunnicke, Christine",2
"312","Zeh, Juli",17
"313","Zinn, Dorit",1
"314","Zürn, Unica",3
"315","Zweig, Stefanie",4
