"","author","title_freq","lang_freq","place_freq"
"416","Hauer, Elisabeth",5,5,5
"417","Hauptmann, Gaby",74,23,26
"418","Haushofer, Marlen",52,18,28
"419","Hausmann, Romy",10,7,7
"420","Hausser, Isabelle",1,1,1
"421","Hayashi, Keiko",2,1,1
"422","Hees, Karin",1,1,1
"423","Hegemann, Helene",1,1,1
"424","Hegewisch, Helga",2,2,2
"425","Heib, Marina",3,2,2
"426","Heidenreich, Elke",19,10,16
"427","Heilmann, Eva",2,1,1
"428","Heimburg, Wilhelmine",1,1,1
"429","Heimes, Silke",1,1,1
"430","Hein, Christa",2,2,2
"431","Hein, Mirja",2,1,1
"432","Heinemann, Ilka",2,2,2
"433","Heinrich, Jutta",1,1,1
"434","Heinrich, Sabine",1,1,1
"435","Heinze de Lorenzo, Ursula",3,2,3
"436","Heischkamp, Anna",1,1,1
"437","Heiss, Sonja",3,3,3
"438","Heitmann, Tanja",6,3,3
"439","Held, Monika",6,6,6
"440","Heldt, Dora",34,11,15
"441","Helfer, Monika",1,1,1
"442","Heller, Eva",22,14,16
"443","Hellmann, Diana Beate",3,2,2
"444","Hemau, Gisela",1,1,1
"445","Henke, Sandra",2,2,2
"446","Hennig von Lange, Alexa",1,1,1
"447","Henscheid, Regina",3,1,1
"448","Hensel, Jana",1,1,1
"449","Hensel, Kerstin",1,1,1
"450","Herbing, Alina",1,1,1
"451","Hermann, Judith",63,26,36
"452","Herold, Tina",11,2,2
"453","Herrmann, Elisabeth",18,5,6
"454","Hertzsch, Kati",1,1,1
"455","Herzog, Marianne",2,2,1
"456","Hess, Annette",17,14,14
"457","Hesse, Lena",1,1,1
"458","Highsmith, Patricia",1,1,1
"459","Hildebrandt, Irma",1,1,1
"460","Hill, Roxann",1,1,1
"461","Hilliges, Ilona Maria",5,2,2
"462","Hlawaty, Graziella",1,1,1
"463","Höch, Ingeborg",1,1,1
"464","Hoepfner, Inge",2,2,2
"465","Hoffman, Jilliane",1,1,1
"466","Hoffmann, Anna",1,1,1
"467","Hoffmann, Johanna",1,1,1
"468","Hoffmann, Sandra",2,2,2
"469","Höfler, Polly Maria",1,1,1
"470","Hofmann, Maria Georg",1,1,1
"471","Hofmann, Tatjana",1,1,1
"472","Hohlbein, Rebecca",1,1,1
"473","Holesch, Ditha",1,1,1
"474","Holland, Katrin",2,1,1
"475","Holmes, Deborah",1,1,1
"476","Holst, Evelyn",5,4,4
"477","Honigmann, Barbara",14,9,11
"478","Höntsch, Ursula",1,1,1
"479","Hoppe, Felicitas",22,11,14
"480","Hörger, Marlies",3,2,2
"481","Horn, Rebecca",1,1,1
"482","Hörnigk, Therese",1,1,1
"483","Horny, Tinga",1,1,1
"484","Hoßfeld, Dagmar",1,1,1
"485","Howard, Karin",1,1,1
"486","Hoyer, Heike",2,2,2
"487","Huang, Xueyuan",1,1,1
"488","Hübel, Adi",1,1,1
"489","Huber, Nicole",1,1,1
"490","Huch, Ricarda",9,6,7
"491","Huillet, Danièle",1,1,1
"492","Hülsmann, Petra",15,8,8
"493","Hummel, Eleonora",1,1,1
"494","Hůrková, Klára",1,1,1
"495","Hutmacher, Rahel",1,1,1
"496","Ilinova, Donka",1,1,1
"497","Imhof, Agnes",7,5,5
"498","Inusa, Manuela",4,2,2
"499","Iosivoni, Bianca",3,1,1
"500","Irmisch, Beate",2,1,1
"501","Irshaid, Karin",1,1,1
"502","Jablonsky, Hilla",1,1,1
"503","Jäckle, Nina",4,2,2
"504","Jacobs, Anne",23,6,6
"505","Jaeggi, Eva",1,1,1
"506","Jäger, Katja",3,1,1
"507","Jakob, Barbara",1,1,1
"508","James, Eloisa",1,1,1
"509","Janesch, Sabrina",2,2,2
"510","Jansen, Hanna",4,3,4
"511","Jardas, Margaret",1,1,1
"512","Jary, Micaela",3,2,2
"513","Jeissing, Ivana",4,2,3
"514","Jelinek, Elfriede",268,38,72
"515","Jenny, Zoë",15,10,11
"516","Jeromin, Britta",1,1,1
"517","Jessler, Nadine",3,1,1
"518","Johannson, Lena",1,1,1
"519","Johansen, Hanna",3,1,2
"520","John, Kirsten",2,2,2
"521","Jones, Victoria",1,1,1
"522","Jonuleit, Anja",1,1,1
"523","Joseph, Wendy",1,1,1
"524","Jost, Silvia",1,1,1
"525","Josten, Husch",2,2,2
"526","Junge, Ricarda",1,1,1
"527","Jüngling, Hanna",1,1,1
"528","Junk, Catharina",1,1,1
"529","Kabus, Christine",7,1,1
"530","Kahn, Lisa",1,1,1
"531","Kaiser, Gloria",3,2,2
"532","Kaiser, Maria Regina",3,2,3
"533","Kaiser, Vea",8,5,5
"534","Kaléko, Mascha",2,2,2
"535","Kalisa, Karin",2,2,2
"536","Kálnay, Juliana",1,1,1
"537","Kanaan, Verena",1,1,1
"538","Kantemir, İris",4,1,1
"539","Karlin, Alma M.",3,1,2
"540","Kaschnitz, Marie Luise",8,5,6
"541","Kast-Riedlinger, Annette",1,1,1
"542","Kastel, Michaela",1,1,1
"543","Kasten, Mona",39,10,10
"544","Kaufmann, Kat",1,1,1
"545","Kaus, Gina",2,2,1
"546","Kebir, Sabine",2,2,2
"547","Keiderling, Christel",1,1,1
"548","Keiser, Helen",1,1,1
"549","Keller, Claudia",8,5,5
"550","Kempff, Martina",7,4,4
"551","Kennel, Herma",1,1,1
"552","Kern, Claudia",1,1,1
"553","Kern, Elfriede",1,1,1
"554","Kerr, Charlotte",1,1,1
"555","Kerschbaumer, Marie-Thérèse",1,1,1
"556","Keun, Irmgard",29,13,18
"557","Keyser, Charlotte",1,1,1
"558","Khayat, Rasha",2,2,2
"559","Kiening, Alexandra",1,1,1
"560","Kim, Anna",8,7,8
"561","Kindl, Ulrike",1,1,1
"562","Kinkel, Tanja",35,12,17
